brand,model,year,mileage,capacity,power,price,type
KAYO,K2,2026.0,1.0,1503.0,0.0,6999.0,Motorcycle
Loncin,XWOLF 550,2026.0,1.0,4993.0,46.0,26900.0,Motorcycle
QJMOTOR,SRT 600SX,2026.0,1.0,5543.0,57.0,24990.0,Motorcycle
KAYO,Inny,2026.0,1.0,1253.0,0.0,5999.0,Motorcycle
KTM,Duke,2025.0,1.0,7993.0,95.0,36899.0,Motorcycle
QJMOTOR,900 SX,2026.0,1.0,9043.0,94.0,36990.0,Motorcycle
QJMOTOR,SRT900S,2026.0,1.0,9043.0,94.0,34990.0,Motorcycle
CFMoto,Inny,2026.0,1.0,5003.0,46.0,29899.0,Motorcycle
KTM,Duke,2025.0,1.0,3903.0,45.0,25490.0,Motorcycle
Segway,Snarler AT6,2026.0,1.0,5703.0,44.0,34990.0,Motorcycle
Segway,Snarler AT6,2026.0,1.0,5703.0,44.0,29900.0,Motorcycle
Daytona,Dymoto 125 X,2026.0,1.0,1253.0,14.0,15999.0,Motorcycle
ASIX,Challanger 300,2026.0,1.0,2703.0,0.0,15999.0,Motorcycle
Junak,RAW 125,2024.0,1.0,1253.0,12.0,8499.0,Motorcycle
VOGE,SR1,2024.0,1.0,1253.0,12.0,11999.0,Motorcycle
KTM,Duke,2026.0,1.0,7993.0,95.0,39899.0,Motorcycle
Honda,Transalp,2026.0,1.0,7503.0,92.0,47600.0,Motorcycle
Honda,CB,2025.0,1.0,10003.0,152.0,41300.0,Motorcycle
Honda,CB,2025.0,1.0,1243.0,11.0,14500.0,Motorcycle
Honda,CMX,2025.0,1.0,10843.0,87.0,43900.0,Motorcycle
Honda,CMX,2025.0,1.0,10843.0,87.0,48700.0,Motorcycle
Honda,CB,2025.0,1.0,10003.0,124.0,54000.0,Motorcycle
Honda,CRF,2025.0,1.0,2863.0,27.0,24700.0,Motorcycle
QJMOTOR,COV 125X,2026.0,1.0,1253.0,15.0,12990.0,Motorcycle
QJMOTOR,SRV 125V,2026.0,1.0,1253.0,15.0,15990.0,Motorcycle
Talaria,Inny,2026.0,1.0,0.0,43.0,32900.0,Motorcycle
Segway,Snarler AT6,2026.0,1.0,5703.0,44.0,28990.0,Motorcycle
Kymco,MXU,2026.0,1.0,6953.0,45.0,37990.0,Motorcycle
Zipp,Inny,2026.0,1.0,1103.0,0.0,3499.0,Motorcycle
Barton,Rocky,2026.0,1.0,1253.0,0.0,4399.0,Motorcycle
Kawasaki,Ninja,2026.0,1.0,10993.0,136.0,78600.0,Motorcycle
CFMoto,Allroad,2025.0,1.0,8003.0,75.0,42990.0,Motorcycle
KTM,SMC 690,2026.0,420.0,6903.0,79.0,50000.0,Motorcycle
Suzuki,Address,2025.0,1.0,1253.0,9.0,8900.0,Motorcycle
Suzuki,GSX,2025.0,1.0,7763.0,85.0,39900.0,Motorcycle
Suzuki,Burgman,2025.0,1.0,1253.0,9.0,11900.0,Motorcycle
Suzuki,DR-Z,2026.0,1.0,3983.0,0.0,38500.0,Motorcycle
Suzuki,Avenis,2025.0,1.0,1253.0,9.0,9300.0,Motorcycle
KOVE,800X Rally,2025.0,1.0,7993.0,97.0,42900.0,Motorcycle
Segway,AT5,2026.0,1.0,4993.0,39.0,28490.0,Motorcycle
QJMOTOR,SRK 125S,2026.0,1.0,1253.0,15.0,11990.0,Motorcycle
Zontes,125 G1 Aluminium,2026.0,1.0,1253.0,15.0,15999.0,Motorcycle
Zontes,125 G1 Spoke,2026.0,1.0,1253.0,15.0,17499.0,Motorcycle
Husqvarna,Vitpilen,2024.0,700.0,3733.0,44.0,17500.0,Motorcycle
VOGE,300GY RALLY,2026.0,1.0,2923.0,29.0,20990.0,Motorcycle
Segway,AT5,2026.0,1.0,4993.0,39.0,27990.0,Motorcycle
Honda,X-ADV,2025.0,1.0,7453.0,59.0,53200.0,Motorcycle
BMW,GS,2026.0,1.0,13003.0,145.0,70960.0,Motorcycle
Honda,NT,2026.0,1.0,10843.0,102.0,64300.0,Motorcycle
Segway,AT5,2026.0,1.0,4993.0,39.0,24990.0,Motorcycle
Yamaha,Tracer,2026.0,1.0,6893.0,73.0,52300.0,Motorcycle
Yamaha,PW,2024.0,1.0,503.0,0.0,9500.0,Motorcycle
Yamaha,MT,2025.0,1.0,6893.0,73.0,34500.0,Motorcycle
Yamaha,TTR,2025.0,1.0,1103.0,0.0,15900.0,Motorcycle
Yamaha,WR,2025.0,1.0,4503.0,0.0,47000.0,Motorcycle
