brand,model,year,mileage,capacity,power,price,type
Honda,Varadero,2009.0,47883.0,1253.0,15.0,9800.0,Motorcycle
Segway,Snarler AT10,2026.0,1.0,0.0,0.0,50990.0,Motorcycle
BMW,GS,2025.0,4300.0,13003.0,145.0,99900.0,Motorcycle
Suzuki,DL,2025.0,1.0,7763.0,84.0,47900.0,Motorcycle
Inny,Inny,2026.0,1.0,0.0,27.0,24500.0,Motorcycle
Yamaha,X-max,2025.0,1.0,1253.0,12.0,21000.0,Motorcycle
CFMoto,CForce,2025.0,1.0,4003.0,31.0,23900.0,Motorcycle
ASIX,Inny,2025.0,1.0,1233.0,6.0,3999.0,Motorcycle
CFMoto,CForce,2025.0,1.0,4003.0,31.0,24900.0,Motorcycle
QJMOTOR,SRK 800RR,2026.0,1.0,7763.0,102.0,34900.0,Motorcycle
QJMOTOR,SVT 650X,2025.0,1.0,6503.0,76.0,29990.0,Motorcycle
Aprilia,SR,2025.0,1.0,1253.0,15.0,16500.0,Motorcycle
Kawasaki,Ninja,2019.0,23000.0,1253.0,15.0,14999.0,Motorcycle
Segway,Snarler AT10,2026.0,1.0,0.0,0.0,44990.0,Motorcycle
Triumph,Bonneville Bobber,2024.0,396.0,12003.0,78.0,50900.0,Motorcycle
QJMOTOR,SRT900S,2025.0,1.0,9003.0,102.0,34990.0,Motorcycle
Honda,NSS,2021.0,9421.0,7503.0,59.0,31900.0,Motorcycle
QJMOTOR,SRT900S,2025.0,1.0,9003.0,104.0,36990.0,Motorcycle
QJMOTOR,SRV 125,2026.0,1.0,1253.0,15.0,10990.0,Motorcycle
QJMOTOR,SRT 600SX,2026.0,1.0,5543.0,47.0,24990.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,8003.0,102.0,34990.0,Motorcycle
QJMOTOR,SRT900SX,2025.0,1.0,9003.0,104.0,36990.0,Motorcycle
QJMOTOR,SRV 125V,2025.0,1.0,1253.0,14.0,15990.0,Motorcycle
QJMOTOR,SRT 600SX,2025.0,1.0,6003.0,56.0,24990.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,8003.0,102.0,34990.0,Motorcycle
QJMOTOR,SRK 125R,2025.0,1.0,1253.0,15.0,14490.0,Motorcycle
QJMOTOR,SRT 600SX,2025.0,1.0,6003.0,56.0,24990.0,Motorcycle
QJMOTOR,SRT900SX,2025.0,1.0,9003.0,104.0,36990.0,Motorcycle
QJMOTOR,TRX 125,2025.0,1.0,1253.0,11.0,9990.0,Motorcycle
QJMOTOR,SRV 125,2025.0,1.0,1253.0,15.0,10990.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,8003.0,102.0,31990.0,Motorcycle
QJMOTOR,SRK 800RR,2025.0,1.0,8003.0,102.0,31990.0,Motorcycle
QJMOTOR,SRK 125S,2025.0,1.0,1253.0,15.0,11990.0,Motorcycle
QJMOTOR,SRK 125R,2025.0,1.0,1253.0,15.0,14490.0,Motorcycle
QJMOTOR,SRK 125S,2025.0,1.0,1253.0,15.0,11990.0,Motorcycle
QJMOTOR,SRT 600SX,2025.0,1.0,6003.0,56.0,24990.0,Motorcycle
QJMOTOR,SRV 125,2025.0,1.0,1253.0,15.0,10990.0,Motorcycle
QJMOTOR,SVT 650X,2025.0,1.0,6503.0,76.0,29990.0,Motorcycle
QJMOTOR,SVT 650,2025.0,1.0,6503.0,76.0,27990.0,Motorcycle
QJMOTOR,SRT900SX,2025.0,1.0,9003.0,104.0,36990.0,Motorcycle
Vespa,Inny,2024.0,941.0,1253.0,12.0,39946.0,Motorcycle
Segway,Snarler AT10,2026.0,1.0,0.0,0.0,43990.0,Motorcycle
KAYO,K2,2026.0,1.0,1503.0,0.0,6999.0,Motorcycle
Loncin,XWOLF 550,2026.0,1.0,4993.0,46.0,26900.0,Motorcycle
QJMOTOR,SRT 600SX,2026.0,1.0,5543.0,57.0,24990.0,Motorcycle
Loncin,XWOLF 550,2026.0,1.0,4993.0,46.0,26900.0,Motorcycle
KAYO,Inny,2026.0,1.0,1253.0,0.0,5999.0,Motorcycle
BMW,S,2026.0,1.0,9993.0,210.0,109810.0,Motorcycle
Loncin,XWOLF 550,2026.0,1.0,4993.0,46.0,26900.0,Motorcycle
BMW,GS,2025.0,1.0,13003.0,145.0,127500.0,Motorcycle
KTM,Duke,2025.0,1.0,7993.0,95.0,36899.0,Motorcycle
QJMOTOR,900 SX,2026.0,1.0,9043.0,94.0,36990.0,Motorcycle
BMW,K,2026.0,1.0,16493.0,160.0,153640.0,Motorcycle
QJMOTOR,SRT900S,2026.0,1.0,9043.0,94.0,34990.0,Motorcycle
CFMoto,Inny,2026.0,1.0,5003.0,46.0,29899.0,Motorcycle
Harley-Davidson,Pan America,2026.0,1.0,12523.0,150.0,122889.0,Motorcycle
KTM,Duke,2025.0,1.0,3903.0,45.0,25490.0,Motorcycle
Segway,Snarler AT6,2026.0,1.0,5703.0,44.0,34990.0,Motorcycle
BMW,R,2025.0,1.0,11703.0,109.0,166800.0,Motorcycle
